model_date,timestamp,state_abb,party,variable,metric,value
28/08/2024,2024-08-28T16:32:11Z,DC,DEM,state vote dem margin,lower,0.727
28/08/2024,2024-08-28T16:32:11Z,VT,DEM,state vote dem margin,lower,0.1798
28/08/2024,2024-08-28T16:32:11Z,MA,DEM,state vote dem margin,lower,15.39%
28/08/2024,2024-08-28T16:32:11Z,MD,DEM,state vote dem margin,lower,0.1471
28/08/2024,2024-08-28T16:32:11Z,HI,DEM,state vote dem margin,lower,0.1101
28/08/2024,2024-08-28T16:32:11Z,CA,DEM,state vote dem margin,lower,0.111
28/08/2024,2024-08-28T16:32:11Z,ME-01,DEM,state vote dem margin,lower,0.0489
28/08/2024,2024-08-28T16:32:11Z,NY,DEM,state vote dem margin,lower,0.0295
28/08/2024,2024-08-28T16:32:11Z,RI,DEM,state vote dem margin,lower,0.0254
28/08/2024,2024-08-28T16:32:11Z,CT,DEM,state vote dem margin,lower,0.0153
28/08/2024,2024-08-28T16:32:11Z,DE,DEM,state vote dem margin,lower,-0.0041
28/08/2024,2024-08-28T16:32:11Z,WA,DEM,state vote dem margin,lower,0.0017
28/08/2024,2024-08-28T16:32:11Z,IL,DEM,state vote dem margin,lower,-0.0167
28/08/2024,2024-08-28T16:32:11Z,NJ,DEM,state vote dem margin,lower,-0.0266
28/08/2024,2024-08-28T16:32:11Z,OR,DEM,state vote dem margin,lower,-0.027
28/08/2024,2024-08-28T16:32:11Z,CO,DEM,state vote dem margin,lower,-0.0497
28/08/2024,2024-08-28T16:32:11Z,NM,DEM,state vote dem margin,lower,-0.0785
28/08/2024,2024-08-28T16:32:11Z,ME,DEM,state vote dem margin,lower,-0.0847
28/08/2024,2024-08-28T16:32:11Z,VA,DEM,state vote dem margin,lower,-0.0996
28/08/2024,2024-08-28T16:32:11Z,MN,DEM,state vote dem margin,lower,-0.1012
28/08/2024,2024-08-28T16:32:11Z,NH,DEM,state vote dem margin,lower,-0.1117
28/08/2024,2024-08-28T16:32:11Z,NE-02,DEM,state vote dem margin,lower,-0.1202
28/08/2024,2024-08-28T16:32:11Z,MI,DEM,state vote dem margin,lower,-0.1472
28/08/2024,2024-08-28T16:32:11Z,WI,DEM,state vote dem margin,lower,-0.1528
28/08/2024,2024-08-28T16:32:11Z,PA,DEM,state vote dem margin,lower,-0.1675
28/08/2024,2024-08-28T16:32:11Z,NV,DEM,state vote dem margin,lower,-0.1676
28/08/2024,2024-08-28T16:32:11Z,AZ,DEM,state vote dem margin,lower,-0.1694
28/08/2024,2024-08-28T16:32:11Z,GA,DEM,state vote dem margin,lower,-0.1848
28/08/2024,2024-08-28T16:32:11Z,NC,DEM,state vote dem margin,lower,-0.1846
28/08/2024,2024-08-28T16:32:11Z,FL,DEM,state vote dem margin,lower,-0.2187
28/08/2024,2024-08-28T16:32:11Z,TX,DEM,state vote dem margin,lower,-0.2284
28/08/2024,2024-08-28T16:32:11Z,ME-02,DEM,state vote dem margin,lower,-0.2429
28/08/2024,2024-08-28T16:32:11Z,OH,DEM,state vote dem margin,lower,-0.2597
28/08/2024,2024-08-28T16:32:11Z,IA,DEM,state vote dem margin,lower,-0.2638
