,Harris,Trump,Winner,Margin,Harris win prob,Trump win prob,EC Votes
Alaska,40.3,51.4,Trump,+11.1,3%,97%,3
Hawaii,61.2,32.9,Harris,+28.3,100%,0%,4
Washington,55.5,37.4,Harris,+18.1,100%,0%,12
Oregon,54.0,39.0,Harris,+15,99%,1%,8
California,61.0,32.9,Harris,+28.1,100%,0%,54
Nevada,47.2,46.2,Harris,+1,56%,44%,6
New Mexico,51.8,42.1,Harris,+9.7,94%,6%,5
Arizona,47.0,46.7,Harris,+0.3,51%,49%,11
Utah,35.2,56.7,Trump,+21.5,0%,100%,6
Idaho,30.6,62.5,Trump,+31.9,0%,100%,4
Montana,38.1,55.5,Trump,+17.4,0%,100%,4
Colorado,52.9,40.5,Harris,+12.4,98%,2%,10
Wyoming,24.1,68.6,Trump,+44.5,0%,100%,3
North Dakota,29.3,63.7,Trump,+34.4,0%,100%,3
South Dakota,33.1,60.4,Trump,+27.3,0%,100%,3
Nebraska,36.0,57.6,Trump,+21.6,0%,100%,2
NE-1,38.6,54.6,Trump,+16,0%,100%,1
NE-2,49.5,44.1,Harris,+5.4,81%,19%,1
NE-3,19.8,74.0,Trump,+54.2,0%,100%,1
Kansas,39.0,54.8,Trump,+15.8,1%,99%,6
Oklahoma,29.8,64.0,Trump,+34.2,0%,100%,7
Texas,44.0,50.7,Trump,+6.7,14%,86%,40
Arkansas,32.3,61.0,Trump,+28.7,0%,100%,6
Louisiana,37.4,57.1,Trump,+19.7,0%,100%,8
Missouri,38.9,55.4,Trump,+16.5,0%,100%,10
Iowa,41.9,49.4,Trump,+7.5,11%,89%,6
Minnesota,49.9,43.9,Harris,+6,83%,17%,10
Wisconsin,48.8,45.7,Harris,+3.1,69%,31%,10
Illinois,55.0,39.2,Harris,+15.8,100%,0%,19
Indiana,38.5,55.6,Trump,+17.1,0%,100%,11
Michigan,47.3,45.7,Harris,+1.6,60%,40%,15
Ohio,41.9,49.5,Trump,+7.6,11%,89%,17
West Virginia,27.2,67.2,Trump,+40,0%,100%,4
Kentucky,33.7,60.7,Trump,+27,0%,100%,8
Tennessee,35.0,59.3,Trump,+24.3,0%,100%,11
Alabama,34.1,60.6,Trump,+26.5,0%,100%,9
Mississippi,38.6,56.2,Trump,+17.6,0%,100%,6
Georgia,47.0,48.0,Trump,+1,43%,57%,16
Florida,44.4,49.9,Trump,+5.5,18%,82%,30
South Carolina,40.9,53.7,Trump,+12.8,2%,98%,9
North Carolina,46.6,48.6,Trump,+2,37%,63%,16
Virginia,51.6,42.6,Harris,+9,93%,7%,13
Delaware,56.2,38.4,Harris,+17.8,100%,0%,3
Maryland,62.9,30.8,Harris,+32.1,100%,0%,10
District of Columbia,89.7,4.0,Harris,+85.7,100%,0%,3
Pennsylvania,47.1,46.9,Harris,+0.2,53%,47%,19
New Jersey,54.8,40.0,Harris,+14.8,99%,1%,14
New York,58.4,36.4,Harris,+22,100%,0%,28
Massachusetts,63.1,30.8,Harris,+32.3,100%,0%,11
Connecticut,56.8,37.8,Harris,+19,100%,0%,7
Rhode Island,56.9,37.2,Harris,+19.7,100%,0%,4
Maine,50.0,43.3,Harris,+6.7,90%,10%,2
ME-1,57.6,35.6,Harris,+22,100%,0%,1
ME-2,42.3,50.9,Trump,+8.6,8%,92%,1
Vermont,63.6,29.3,Harris,+34.3,100%,0%,3
New Hampshire,50.2,44.0,Harris,+6.2,84%,16%,4
