,state_abb,model_date,DEM,IND,REP,model,DEM_win_prob,IND_win_prob,REP_win_prob
0,AK,2024-01-08,0.4061,0.0506,0.5338,538,0.0979,0.0,0.9021
1,AK,2024-02-08,0.4072,0.0493,0.5334,538,0.0977,0.0,0.9023
2,AK,2024-03-08,0.4075,0.0495,0.533,538,0.0988,0.0,0.9012
3,AK,2024-04-08,0.4083,0.0496,0.5331,538,0.0996,0.0,0.9004
4,AK,2024-05-08,0.4098,0.0488,0.5324,538,0.1057,0.0,0.8943
5,AK,2024-06-08,0.4066,0.0498,0.5334,538,0.0954,0.0,0.9046
6,AK,2024-07-08,0.4077,0.0501,0.5332,538,0.1007,0.0,0.8993
7,AK,2024-08-08,0.4098,0.0477,0.5316,538,0.1047,0.0,0.8953
8,AK,2024-09-08,0.4115,0.0479,0.5314,538,0.1069,0.0,0.8931
9,AK,2024-10-08,0.412,0.0465,0.5318,538,0.1033,0.0,0.8967
10,AK,2024-11-08,0.4118,0.0473,0.5312,538,0.1095,0.0,0.8905
11,AK,2024-12-08,0.4131,0.0464,0.5309,538,0.1122,0.0,0.8878
12,AK,2024-08-13,0.4141,0.0461,0.5302,538,0.1134,0.0,0.8866
13,AK,2024-08-14,0.413,0.0467,0.5308,538,0.1063,0.0,0.8937
14,AK,2024-08-15,0.4149,0.0462,0.53,538,0.1121,0.0,0.8879
15,AK,2024-08-16,0.4127,0.0471,0.531,538,0.1044,0.0,0.8956
16,AK,2024-08-17,0.4113,0.0482,0.5314,538,0.102,0.0,0.898
17,AK,2024-08-18,0.4125,0.0471,0.5313,538,0.1035,0.0,0.8965
18,AK,2024-08-19,0.4146,0.0457,0.5304,538,0.105,0.0,0.895
19,AK,2024-08-20,0.4147,0.0463,0.5302,538,0.1067,0.0,0.8933
20,AK,2024-08-21,0.4185,0.0433,0.5291,538,0.1153,0.0,0.8847
21,AK,2024-08-22,0.4194,0.0432,0.5284,538,0.1201,0.0,0.8799
22,AK,2024-08-23,0.4201,0.0427,0.5282,538,0.1184,0.0,0.8816
23,AK,2024-08-24,0.445,,0.555,538,0.1116,,0.8884
24,AK,2024-08-25,0.4461,,0.5539,538,0.1109,,0.8891
25,AK,2024-07-26,0.4065,0.0487,0.5347,538,0.098,0.0,0.902
26,AK,2024-08-26,0.4463,,0.5537,538,0.1121,,0.8879
27,AK,2024-07-27,0.4061,0.0488,0.5352,538,0.1015,0.0,0.8985
28,AK,2024-08-27,0.4453,,0.5547,538,0.1067,,0.8933
29,AK,2024-07-28,0.4068,0.0476,0.5356,538,0.0988,0.0,0.9012
30,AK,2024-08-28,0.4455,,0.5545,538,0.1093,,0.8907
31,AK,2024-07-29,0.4065,0.0489,0.5354,538,0.0963,0.0,0.9037
32,AK,2024-07-30,0.4063,0.0484,0.5344,538,0.1019,0.0,0.8981
33,AK,2024-07-31,0.4057,0.0505,0.5342,538,0.0968,0.0,0.9032
34,AL,2024-01-08,0.3383,0.0471,0.6141,538,0.0052,0.0,0.9948
35,AL,2024-02-08,0.3389,0.0474,0.613,538,0.0034,0.0,0.9966
36,AL,2024-03-08,0.3389,0.0473,0.613,538,0.0037,0.0,0.9963
37,AL,2024-04-08,0.3398,0.0462,0.6127,538,0.0052,0.0,0.9948
38,AL,2024-05-08,0.3409,0.0469,0.6113,538,0.004,0.0,0.996
39,AL,2024-06-08,0.3382,0.0484,0.6125,538,0.0044,0.0,0.9956
40,AL,2024-07-08,0.3385,0.0491,0.6118,538,0.0033,0.0,0.9967
41,AL,2024-08-08,0.3409,0.0478,0.6102,538,0.0042,0.0,0.9958
42,AL,2024-09-08,0.3431,0.0455,0.6104,538,0.0053,0.0,0.9947
43,AL,2024-10-08,0.3424,0.0457,0.6106,538,0.0037,0.0,0.9963
44,AL,2024-11-08,0.3429,0.0454,0.6107,538,0.0049,0.0001,0.9951
45,AL,2024-12-08,0.3448,0.0446,0.6099,538,0.0044,0.0,0.9956
46,AL,2024-08-13,0.3446,0.0445,0.6095,538,0.0046,0.0,0.9954
47,AL,2024-08-14,0.3441,0.0454,0.6095,538,0.0043,0.0,0.9957
48,AL,2024-08-15,0.3443,0.0456,0.609,538,0.0041,0.0,0.9959
49,AL,2024-08-16,0.3439,0.0446,0.6106,538,0.0039,0.0,0.9961
50,AL,2024-08-17,0.3433,0.0443,0.6114,538,0.0041,0.0,0.9959
51,AL,2024-08-18,0.3441,0.0431,0.6118,538,0.0036,0.0,0.9964
52,AL,2024-08-19,0.3463,0.043,0.6098,538,0.0039,0.0,0.9961
53,AL,2024-08-20,0.3459,0.0429,0.6103,538,0.0042,0.0,0.9958
54,AL,2024-08-21,0.349,0.0406,0.6091,538,0.0049,0.0,0.9951
55,AL,2024-08-22,0.35,0.0414,0.6076,538,0.0045,0.0,0.9955
56,AL,2024-08-23,0.3507,0.0409,0.6075,538,0.004,0.0,0.996
57,AL,2024-08-24,0.3689,,0.6311,538,0.004,,0.996
58,AL,2024-08-25,0.3696,,0.6304,538,0.0037,,0.9963
59,AL,2024-07-26,0.3394,0.0438,0.6159,538,0.0048,0.0,0.9952
60,AL,2024-08-26,0.3702,,0.6298,538,0.0033,,0.9967
61,AL,2024-07-27,0.3386,0.0435,0.616,538,0.0047,0.0,0.9953
