,Harris,Trump,Winner,Margin,Harris win prob,Trump win prob,EC Votes
Alabama,37.5,62.5,Trump,+25,0%,100%,9
Alaska,44.6,55.4,Trump,+10.8,5%,95%,3
Arizona,50.2,49.8,Harris,+0.4,45%,55%,11
Arkansas,36.2,63.8,Trump,+27.6,0%,100%,6
California,63.9,36.1,Harris,+27.8,100%,0%,54
Colorado,53.7,46.3,Harris,+7.4,89%,11%,10
Connecticut,59.5,40.5,Harris,+19,100%,0%,7
Delaware,58.3,41.7,Harris,+16.6,99%,1%,3
District of Columbia,91.4,8.6,Harris,+82.8,100%,0%,3
Florida,47.4,52.6,Trump,+5.2,14%,86%,30
Georgia,49.9,50.1,Trump,+0.2,42%,58%,16
Hawaii,62.6,37.4,Harris,+25.2,100%,0%,4
Idaho,34.0,66.0,Trump,+32,0%,100%,4
Illinois,57.2,42.8,Harris,+14.4,98%,2%,19
Indiana,41.8,58.2,Trump,+16.4,0%,100%,11
Iowa,46.5,53.5,Trump,+7,10%,90%,6
Kansas,41.1,58.9,Trump,+17.8,100%,0%,6
Kentucky,63.2,36.8,Harris,+26.4,0%,100%,8
Louisiana,40.9,59.1,Trump,+18.2,0%,100%,8
Maine,56.1,43.9,Harris,+12.2,95%,5%,2
Maryland,65.6,34.4,Harris,+31.2,100%,0%,10
Massachusetts,64.9,35.1,Harris,+29.8,100%,0%,11
ME-1,63.2,36.8,Harris,+26.4,100%,0%,1
ME-2,48.3,51.7,Trump,+3.4,18%,82%,1
Michigan,51.6,48.4,Harris,+3.2,64%,36%,15
Minnesota,54.3,45.7,Harris,+8.6,90%,10%,10
Mississippi,42.0,58.0,Trump,+16,1%,99%,6
Missouri,58.1,41.9,Harris,+16.2,0%,100%,10
Montana,42.3,57.7,Trump,+15.4,0%,100%,4
NE-1,56.5,43.5,Harris,+13,2%,98%,1
NE-2,52.4,47.6,Harris,+4.8,76%,24%,1
NE-3,22.8,77.2,Trump,+54.4,0%,100%,1
Nebraska,39.4,60.6,Trump,+21.2,0%,100%,2
Nevada,50.8,49.2,Harris,+1.6,56%,44%,6
New Hampshire,53.5,46.5,Harris,+7,83%,17%,4
New Jersey,55.7,44.3,Harris,+11.4,96%,4%,14
New Mexico,54.2,45.8,Harris,+8.4,90%,10%,5
New York,59.6,40.4,Harris,+19.2,100%,0%,28
North Carolina,49.6,50.4,Trump,+0.8,38%,62%,16
North Dakota,32.4,67.6,Trump,+35.2,0%,100%,3
Ohio,45.2,54.8,Trump,+9.6,95%,5%,17
Oklahoma,32.8,67.2,Trump,+34.4,0%,100%,7
Oregon,56.4,43.6,Harris,+12.8,98%,2%,8
Pennsylvania,50.8,49.2,Harris,+1.6,53%,47%,19
Rhode Island,59.3,40.7,Harris,+18.6,100%,0%,4
South Carolina,44.5,55.5,Trump,+11,3%,97%,9
South Dakota,36.8,63.2,Trump,+26.4,0%,100%,3
Tennessee,37.9,62.1,Trump,+24.2,0%,100%,11
Texas,47.1,52.9,Trump,+5.8,14%,86%,40
Utah,35.6,64.4,Trump,+28.8,0%,100%,6
Vermont,69.1,30.9,Harris,+38.2,100%,0%,3
Virginia,52.9,47.1,Harris,+5.8,83%,17%,13
Washington,58.7,41.3,Harris,+17.4,100%,0%,12
West Virginia,31.2,68.8,Trump,+37.6,0%,100%,4
Wisconsin,51.5,48.5,Harris,+3,57%,43%,10
Wyoming,27.6,72.4,Trump,+44.8,0%,100%,3
